,Date,Text,Incident_cause,Location,Direction_landmark,Status,Near_landmark,Between_landmark
1215,2020-01-01 21:34:00,"due to vehicle on fire , the middle and slow lanes of tuen mun road tuen mun bound near sea crest villa are closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on tuen mun road tuen mun bound ends at sham tseng. traffic is congested now. ",vehicle on fire,tuen mun road,tuen mun,new,sea crest villa,
1216,2020-01-01 21:40:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 2, 5b, 5x,12, 12a, 12m, 13, 15b, 15c, 18p, 23, 25, 26, 27, 40m, 65, 590, x15, x15r cross harbour routes: 103,110,118,934,936, w1 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2a, 2x, 8, 8p, 8x, 10, 11, 15, 19, 25a, 37a (to chi fu), 37b, 38, 40, 42, 70 (to southern district) , 72, 72a, 76, 77, 81, 90, 96, 97, 99, 260, 592, 720, 722, 780, 788, 789 cross harbour routes: 101, 102, 104, 106, 107, 108, 109, 111 (to ping shek estate), 112, 113, 115,116, 117 (to happy valley), 170 (to shatin), 171 (to lai chi kok) 182, 307, 601, 603, 619, 671 (to diamond hill), 673, 680, 681, 690, 905,914, 930, 930x, 948, 960, 961, 962b, 962x, 967, 968, 969, 978, h2 airport / north lantau external routes: a11, e11, e11a tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1217,2020-01-01 21:52:00,the middle lane of tuen mun road tuen mun bound near sea crest villa which was closed due to vehicle on fire is re-opened to all traffic; the slow lane of tuen mun road tuen mun bound near sea crest villa is still closed to all traffic. only remaining lane(s) are still available to motorists. traffic is congested now. ,vehicle on fire,tuen mun road,tuen mun,new,sea crest villa,
1218,2020-01-01 21:55:00,"due to road situation at hong kong island , the following road sections are temporary blocked / closed: hong kong island: - yee wo street (both bounds) - hennessy road (both bounds) public transport services at the above road sections will be affected, diverted or suspended. police will exercise or alter the road closure, traffic control and diversion measures depending on the traffic conditions on site. motorists are advised to be patient when driving in the vicinity and follow police's instruction, and watch out for the latest traffic news through the media. in addition, other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",traffic accident,road situation on hong kong island,,updated,,
1219,2020-01-01 22:01:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 2, 5b, 5x,12, 12a, 12m, 13, 15b, 15c, 18p, 23, 25, 26, 27, 40m, 65, 590, x15, x15r cross harbour routes: 103,110,118,934,936, w1 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2a, 2x, 8, 8p, 8x, 10, 11, 15, 19, 25a, 37a (to chi fu), 37b, 38, 40, 42, 70 (to southern district) , 72, 72a, 76, 77, 81, 90, 96, 97, 99, 260, 592, 720, 722, 780, 788, 789 cross harbour routes: 101, 102, 104, 106, 107, 108, 109, 111 (to ping shek estate), 112, 113, 115,116, 117 (to happy valley), 170 (to shatin), 171 (to lai chi kok) 182, 307, 601, 603, 619, 671 (to diamond hill), 673, 680, 681, 690, 905,914, 930, 930x, 948, 960, 961, 962b, 962x, 967, 969, 978, h2 airport / north lantau external routes: a11, e11, e11a tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1220,2020-01-01 22:25:18,the middle lane of tuen mun road tuen mun bound near sea crest villa which was closed due to vehicle on fire is re-opened to all traffic. ,vehicle on fire,tuen mun road,tuen mun,new,sea crest villa,
1221,2020-01-01 22:35:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 5b, 5x, 23, 25, 26, 40m, x15r cross harbour routes: 103,934,936 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2, 2a, 2x, 8, 8p, 8x, 10, 11, 19, 25a, 37a, 37b, 38, 40, 42 , 72, 72a, 76, 77, 90, 96, 97, 99, 260, 592, 720, 722, 780, 788, 789 cross harbour routes: 101, 102, 104, 106, 107, 108, 109, 111 (to ping shek estate), 112, 113, 115,116, 170, 171, 182, 307, 601, 603, 619, 673, 680, 681, 690, 905,914, 930x, 948, 962b, 962x, 969, 978, h2 airport / north lantau external routes: a11, e11, e11a tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1222,2020-01-01 22:35:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 5b, 5x, 23, 25, 26, 40m, x15r cross harbour routes: 103,934,936 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2, 2a, 2x, 8, 8p, 8x, 10, 11, 19, 25a, 37a, 37b, 38, 40, 42 , 72, 72a, 76, 77, 90, 96, 97, 99 cross harbour routes: 101, 102, 104, 106, 107, 108, 109, 111, 112, 113, 115,116, 170, 171, 182, 307, 601, 603, 619, 673, 680, 681, 690, 905,914, 930x, 948, 962b, 962x, 969, h2 airport / north lantau external routes: a11, e11, e11a tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1223,2020-01-01 23:11:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 5b, 5x, 23, 25, 26, 40m cross harbour routes: 103,934,936 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2, 2a, 2x, 8, 8p, 8x, 10, 11, 19, 25a, 38, 40, 42 , 72, 72a, 76, 77, 96, 99 cross harbour routes: 101, 102 (to mei foo), 104, 106, 107, 108, 109, 111, 112, 113, 115,116, 170 (to shatin), 171 (to lai chi kok), 182, 307 (to tai po), 601, 603, 619, 673, 680, 681, 690, 905,914, 930x (to causeway bay), 948, 962b, 962x, 969, h2 airport / north lantau external routes: a11 (to north point), e11 (to tin hau), e11a (to asia world expo) tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1224,2020-01-01 23:26:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 5b, 5x, 23, 25, 26, 40m cross harbour routes: 103,934,936 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2, 2a, 2x, 8, 8p, 8x, 10, 11, 19, 25a, 38, 40, 42 , 72, 72a, 76, 77, 96, 99 cross harbour routes: 101, 102 (to mei foo), 104, 106, 107, 108, 109, 111, 112, 113, 115,116, 170 (to shatin), 171 (to lai chi kok), 182, 307 (to tai po), 601, 603, 619, 673, 680, 681, 690, 905,914, 930x (to causeway bay), 948, 962b, 962x, 969, h2 airport / north lantau external routes: a11 (to north point), e11 (to tin hau), e11a (to asia world expo) the following overnight bus routes are truncated / diverted: kowloon / new territories routes: n122, n170, n182, n368, n619, n680, n691 tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1225,2020-01-01 23:45:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 5b, 5x, 23, 25, 26, 40m cross harbour routes: 103,934,936 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2, 2a, 2x, 8, 8p, 8x, 10, 11, 19, 25a, 38, 40, 42 , 72, 72a, 76, 77, 96, 99 cross harbour routes: 101, 102 (to mei foo), 104, 106, 107, 108, 109, 111, 112, 113, 115,116, 170 (to shatin), 171 (to lai chi kok), 182, 307 (to tai po), 601, 603, 619, 673, 680, 681, 690, 905,914, 930x (to causeway bay), 948, 962b, 962x, 969, h2 airport / north lantau external routes: a11 (to north point), e11 (to tin hau), e11a (to asia world expo) the following overnight bus routes are truncated / diverted: hong kong island routes: n8, n8p, n8x, n72 cross harbour routes: n122, n170, n182, n368, n619, n680, n691 tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1226,2020-01-01 23:57:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 5b, 5x, 23, 25, 26, 40m cross harbour routes: 103,934,936 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2, 2a, 2x, 8, 8p, 11, 25a, 38, 40, 42 , 72, 72a, 76, 77, 96, 99 cross harbour routes: 101, 102 (to mei foo), 104, 106, 107, 108, 109, 111, 112, 113, 115,116, 170 (to shatin), 171 (to lai chi kok), 182, 307 (to tai po), 601, 603, 619, 673, 680, 681, 690, 905,914, 930x (to causeway bay), 948, 962b, 962x, 969, h2 airport / north lantau external routes: a11 (to north point), e11 (to tin hau), e11a (to asia world expo) the following overnight bus routes are truncated / diverted: hong kong island routes: n8, n8p, n8x, n72 cross harbour routes: n122, n170, n182, n368, n619, n680, n691, n930, n962, n969, 962n airport / north lantau external routes: n11 tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1227,2020-01-02 00:00:00,"as some of the traffic lights in yau tsim mong, wai chai and central and western districts are damaged and are not functioning normally, motorists are advised to drive with utmost care when passing through those junctions, pay extra attention to the traffic signs, particularly the safety of pedestrians. pedestrians please use footbridges and pedestrian subways for crossing the roads. please pay attention to vehicles when crossing junctions with damaged traffic lights. ",other,malfunction of traffic lights,,updated,,
1228,2020-01-02 00:09:00,"due to road situation at hong kong island , the following public transport services have been adjusted as follows: the following daytime bus routes are suspended: hong kong island routes: 5b, 5x,40m cross harbour routes: 103,934,936 the following daytime bus routes are truncated / diverted: hong kong island routes: 1, 2a, 2x, 8, 8p, 11, 23, 25 (to braemar hill), 25a, 38, 40, 42 , 72, 72a, 76, 77, 96, 99 cross harbour routes: 107, 116, 170 (to shatin), 171 (to lai chi kok), 601 (to po tat estate), 619, 680 (to ma on shan), 681, 690, 930x (to causeway bay), 948 (to tsing yi), 962b, 962x, 969, h2 airport / north lantau external routes: a11 (to north point), e11 (to tin hau), e11a (to asia world expo) the following overnight bus routes are truncated / diverted: hong kong island routes: n8, n8p, n8x, n72 cross harbour routes: n122, n170, n182, n368, n619, n680, n691, n930, n962, n969, 962n airport / north lantau external routes: n11 tram service: tram service between western market terminus and mount parker road and happy valley loop is suspended. re-routeing will also take place for other routes according to actual traffic conditions. some departures may be terminated at mid-way bus stops. passengers please follow intructions from site staff at the scene. other ad-hoc traffic and public transport measures, including additional road closures, traffic diversion, alteration and suspension of public transport services may be implemented by the police at anytime depending on actual traffic and crowd conditions in the areas. early planning of journeys and use of alternative travelling routes are advised to avoid unexpected delay. public transport commuters are advised to pay attention to the arrangements of route diversions and suspension or relocation of stops. ",road incident,public transport service adjustment due to road situation at hong kong island,,updated,,
1229,2020-01-02 04:18:35,the following road sections which were closed due to road situation are re-opened to all traffic : - yee wo street (both directions) - hennessy road (both directions) affected public transport services have resumed normal operation. ,traffic accident,road situation on hong kong island,,new,,
1230,2020-01-02 05:45:00,transport department's mobile application “hkemobility” is not working properly. the transport department is arranging urgent repair work. members of the public are advised to pay attention to the radio and transport department's website for the latest traffic news. ,traffic accident,,,new,,
1231,2020-01-02 06:36:00,transport department's mobile application “hkemobility” has resumed normal operation. ,traffic accident,,,updated,,
1232,2020-01-02 07:50:00,"as at 7:50 am on 2 january, the number of damaged traffic lights is reduced to 2 sets. they are located at junctions of fa yuen street / shan tung street in mong kok and hennessy road / fenwick street in wan chai. the transport department urges motorists and pedestrians to be patient and pay attention to road safety when passing through the affected junctions with damaged traffic lights. relevant departments are carrying out urgent repairs in full steam for the damaged traffic lights, and apologise for inconvenience caused. ",other,malfunction of traffic lights,,updated,,
1233,2020-01-02 09:22:00,"due to traffic accident , the lane no. 2 of tsing sha highway kowloon bound near tai wai tunnel is closed to all traffic. only remaining lane(s) are still available to motorists. traffic is busy now. ",traffic accident,tsing sha highway,kowloon,new,tai wai tunnel,
1234,2020-01-02 09:27:00,"due to vehicle breakdown , part of the lanes of tai chung road roundabout is closed to all traffic. only remaining lane(s) is still available to motorists. traffic is busy now. ",vehicle breakdown,tai chung road,,new,,
1235,2020-01-02 09:33:00,"due to emergency incident , all lanes of tai hong street sai wan ho ferry pier bound near tai on building is closed to all traffic. affected bus route(s) has(have) been diverted. motorists are advised to use alternative routes. traffic is busy now. ",emergency incident,tai hong street,sai wan ho ferry pier,new,tai on building,
1236,2020-01-02 09:33:00,"due to person in dangerous position, all lanes of tai hong street sai wan ho ferry pier bound near tai on building is closed to all traffic. affected bus route(s) has(have) been diverted. motorists are advised to use alternative routes. traffic is busy now. ",person in dangerous position,tai hong street,sai wan ho ferry pier,updated,tai on building,
1237,2020-01-02 09:45:35,the lane no. 2 of tsing sha highway kowloon bound near tai wai tunnel which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tsing sha highway,kowloon,new,tai wai tunnel,
1238,2020-01-02 09:46:49,part of the lanes of tai chung road roundabout which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tai chung road,,new,,
1239,2020-01-02 10:14:01,all lanes of tai hong street sai wan ho ferry pier bound near tai on building which were closed due to person in dangerous position are re-opened to all traffic. ,person in dangerous position,tai hong street,sai wan ho ferry pier,new,tai on building,
1240,2020-01-02 11:03:00,"due to watermain emergency works , the slow lane of che kung miu road ma on shan bound near che kung temple is closed to all traffic. only remaining lane(s) are still available to motorists. ",watermain emergency works,che kung miu road,ma on shan,new,che kung temple,
1241,2020-01-02 11:03:00,"due to watermain emergency works , the slow lane of che kung miu road ma on shan bound near che kung temple mtr station is closed to all traffic. only remaining lane(s) are still available to motorists. ",watermain emergency works,che kung miu road,ma on shan,updated,che kung temple mtr station,
1242,2020-01-02 12:10:00,"as at noon on 2 january, only the traffic lights located at junctions of hennessy road / fenwick street in wan chai are still under repair. the transport department urges motorists and pedestrians to be patient and pay attention to road safety when passing through the affected junctions with damaged traffic lights. relevant departments are carrying out urgent repairs in full steam for the damaged traffic lights, and apologise for inconvenience caused. ",other,malfunction of traffic lights,,updated,,
1243,2020-01-02 16:22:00,"due to traffic accident , part of the lanes of prince edward road east kwun tong bound near king tai court is closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on prince edward road east kwun tong bound ends at kowloon city roundabout. traffic is congested now. ",traffic accident,prince edward road east,kwun tong,new,king tai court,
1244,2020-01-02 17:28:20,part of the lanes of prince edward road east kwun tong bound near king tai court which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,prince edward road east,kwun tong,new,king tai court,
1245,2020-01-02 18:00:00,"due to traffic accident , the fast lane of tate's cairn highway kowloon bound near shek mun is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tate's cairn highway,kowloon,new,shek mun,
1246,2020-01-02 18:12:00,"due to traffic accident , the fast lane of tuen mun road kowloon bound near sham tseng is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tuen mun road,kowloon,new,sham tseng,
1247,2020-01-02 18:16:00,"due to traffic accident , the fast lane of tuen mun road kowloon bound near sham tseng is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tuen mun road kowloon bound ends at tsing lung tau.   traffic is congested now. ",traffic accident,tuen mun road,kowloon,updated,sham tseng,
1248,2020-01-02 18:37:00,"due to traffic accident , the fast lane of ching cheung road kwun tong bound near caritas medical centre is closed to all traffic. only the middle and slow lanes are still available to motorists. traffic queue on ching cheung road kwun tong bound ends at butterfly valley. traffic is congested now. ",traffic accident,ching cheung road,kwun tong,new,caritas medical centre,
1249,2020-01-02 18:51:00,"due to traffic accident , the fast lane of tuen mun road kowloon bound near sham tseng is still closed to all traffic.  only remaining lanes are still available to motorists.   traffic queue on tuen mun road kowloon bound ends at vocational training council maritime services training institute.   traffic is congested now. ",traffic accident,tuen mun road,kowloon,updated,sham tseng,
1250,2020-01-02 18:52:00,"due to traffic accident happened earlier , tuen mun road (near ting kau), ting kau bridge and cheung tsing highway tuen mun bound are busy. motorists passing through the above section of road are advised to drive with utmost care and patience. ",traffic accident happened earlier,"tuen mun road (near ting kau), ting kau bridge and cheung tsing highway",tuen mun,new,,
1251,2020-01-02 19:23:16,the fast lane of tate's cairn highway kowloon bound near shek mun which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tate's cairn highway,kowloon,new,shek mun,
1252,2020-01-02 19:28:00,"due to traffic accident happened earlier , tuen mun road (near ting kau), ting kau bridge, cheung tsing highway, cheung tsing tunnel tuen mun bound are busy. motorists passing through the above section of road are advised to drive with utmost care and patience. ",traffic accident happened earlier,"tuen mun road (near ting kau), ting kau bridge, cheung tsing highway, cheung tsing tunnel",tuen mun,updated,,
1253,2020-01-02 19:56:35,the fast lane of tuen mun road kowloon bound near sham tseng which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,tuen mun road,kowloon,new,sham tseng,
1254,2020-01-02 19:58:38,the fast lane of ching cheung road kwun tong bound near caritas medical centre which was closed due to traffic accident is re-opened to all traffic. traffic queue takes time to disperse. ,traffic accident,ching cheung road,kwun tong,new,caritas medical centre,
1255,2020-01-02 20:02:56,"traffic at tuen mun road (near ting kau), ting kau bridge, cheung tsing highway, cheung tsing tunnel tuen mun bound has resumed normal. ",traffic accident happened earlier,"tuen mun road (near ting kau), ting kau bridge, cheung tsing highway, cheung tsing tunnel",tuen mun,new,,
1256,2020-01-02 20:05:21,the slow lane of tuen mun road yuen long bound near san hui which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tuen mun road,yuen long,new,san hui,
1257,2020-01-02 21:32:00,"due to watermain emergency works, the following road sections are still closed to all traffic: - the lane no. 2 of cheung sha wan road mei foo bound near tonkin street; - the lanes no. 2 and 3 of tonkin street lei cheng uk estate bound near cheung sha wan road. only remaining lanes are still available to motorists. ",watermain emergency works,,,new,,
1258,2020-01-03 06:35:41,the slow lane of che kung miu road ma on shan bound near che kung temple mtr station which was closed due to watermain emergency works is re-opened to all traffic. ,watermain emergency works,che kung miu road,ma on shan,new,che kung temple mtr station,
1259,2020-01-03 08:41:00,"due to traffic accident , the lane no. 2 of lung cheung road kwun tong bound near ngau chi wan village is closed to all traffic. only remaining lane(s) are still available to motorists. traffic is busy now. ",traffic accident,lung cheung road,kwun tong,new,ngau chi wan village,
1260,2020-01-03 09:03:00,"due to traffic accident , the fast lane of west kowloon highway hong kong bound near olympic mtr station is closed to all traffic. only remaining lane(s) are still available to motorists. traffic is busy now. ",traffic accident,west kowloon highway,hong kong,new,olympic mtr station,
1261,2020-01-03 09:09:00,"due to traffic accident , the fast lane of west kowloon highway hong kong bound near olympic mtr station is still closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on west kowloon highway hong kong bound ends at hing wah street west. traffic is congested now. ",traffic accident,west kowloon highway,hong kong,updated,olympic mtr station,
1262,2020-01-03 09:15:00,"due to traffic accident , part of the lanes of west kowloon highway western harbour crossing bound near olympic mtr station is still closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on west kowloon highway western harbour crossing bound ends at hing wah street west. traffic is congested now. ",traffic accident,west kowloon highway,western harbour crossing,updated,olympic mtr station,
1263,2020-01-03 09:17:50,the lane no. 2 of lung cheung road kwun tong bound near ngau chi wan village which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,lung cheung road,kwun tong,new,ngau chi wan village,
1264,2020-01-03 09:30:00,"due to traffic accident , part of the lanes of west kowloon highway western harbour crossing bound near olympic mtr station is still closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on west kowloon highway ends at lai chi kok park and traffic queue on tsing sha highway ends at kmb lai chi kok bus depot. traffic is congested now. ",traffic accident,west kowloon highway,western harbour crossing,updated,olympic mtr station,
1265,2019-12-25 00:23:00,"due to road situation, the following road sections are temporary blocked / closed: - kowloon park drive (both bounds) - hung hom road near tak fung street (salisbury road bound) - hung hom bypass near metropolis drive (salisbury road bound) - canton road between wui cheung road and austin road west (tsim sha tsui bound) - austin road west underpass between canton road and jordan road (nathan road bound) - canton road between austin road and kowloon park drive (tsim sha tsui bound) - austin road (both bounds) - pine tree hill road - salisbury road near cross harbour tunnel toll plaza (tsim sha tsui bound) - science museum road between cheong wan road and salisbury road (both bounds) - chatham road south between austin road and salisbury road (both bounds) - nathan road between jordan road and salisbury road (both bounds) - nathan road between prince edward road west and waterloo road (both bounds) the public heading to the affected areas is advised to plan their journey early and allow more travelling time to cater for unexpected delay. the public is also advised to avoid driving to the affected areas. for public transport commuters, they should pay attention to the arrangements of route diversions and suspension of stops. motorists should exercise tolerance and patience in case of traffic congestion, take heed of instruction of the police and watch out for the latest traffic news through media. members of the public are advised to pay attention to radio / tv announcements on traffic conditions. ",road situation,road closure situation in kowloon,,updated,,
1266,2019-12-25 14:40:00,"due to mud stain on road, following sections of road are closed to all traffic:  -the only lane of the slip road leading from tsuen tsing interchange to tsuen wan road tuen mun bound, and -the only lane of the slip road leading from tsing tsuen road to tsuen wan road tuen mun bound .  long win route no. e32a (kwai fong bound) has been re-routed to operate via yeung uk road and sha tsui road before resuming the original routing. bus stop at clague garden estate is cancelled.   affected public transport services have been diverted.  .  traffic is busy now. ",mud stain on road,tsing tsuen road,tsuen wan,updated,,
1267,2019-12-27 07:35:00,"due to traffic accident , the slow lane of yuen long highway tuen mun bound near siu hong is closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on yuen long highway tuen mun bound ends at fuk hang tsuen. traffic is congested now. ",traffic accident,yuen long highway,tuen mun,new,siu hong,
1268,2019-12-27 09:39:00,"due to traffic accident , the fast lane of west kowloon corridor kwai chung bound near fu cheong estate is closed to all traffic. only the slow lane is still available to motorists. traffic is busy now. ",traffic accident,west kowloon corridor,kwai chung,new,fu cheong estate,
1269,2019-12-27 12:40:00,"due to traffic accident , part of the lanes of lei yue mun road kowloon bay bound near cha kwo ling road is still closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on lei yue mun road kowloon bay bound ends at tseung kwan o road near hing tin estate. traffic is congested now. ",traffic accident,lei yue mun road,kowloon bay,updated,cha kwo ling road,
1270,2019-12-27 18:47:00,"due to traffic accident , the one-lane-two-way traffic arrangement is now implemented on 34 island road both bounds. traffic is busy now. ",traffic accident,34 island road,,new,,
1271,2020-01-03 09:41:49,part of the lanes of west kowloon highway western harbour crossing bound near olympic mtr station which were closed due to traffic accident are re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,west kowloon highway,western harbour crossing,new,olympic mtr station,
1272,2020-01-03 10:20:12,the slow lane of kwun tong road yau tong bound near kowloon bay mtr station which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,kwun tong road,yau tong,new,kowloon bay mtr station,
1273,2020-01-03 14:31:00,"due to traffic accident , part of the lanes of hong chong road cross harbour tunnel bound near hong kong polytechnic university is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,hong chong road,cross harbour tunnel,new,hong kong polytechnic university,
1274,2020-01-03 14:47:00,"due to traffic accident , the slow lane of tai po road - sha tin tai po bound near sha tin mtr station is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,tai po road - sha tin,tai po,new,sha tin mtr station,
1275,2020-01-03 14:56:21,the slow lane of tai po road - sha tin tai po bound near sha tin mtr station which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,tai po road - sha tin,tai po,closed,sha tin mtr station,
1276,2020-01-03 15:49:00,"due to vehicle breakdown , the slow lane of tsing sha highway sha tin bound near the junction to shing mun tunnel road is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,tsing sha highway,sha tin,new,the junction to shing mun tunnel road,
1277,2020-01-03 16:23:58,the slow lane of tsing sha highway sha tin bound near the junction to shing mun tunnel road which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tsing sha highway,sha tin,new,the junction to shing mun tunnel road,
1278,2020-01-03 16:34:00,"due to heavy traffic , tai po road mong kok bound is busy. motorists passing through the above section of road are advised to drive with utmost care and patience. ",heavy traffic,tai po road,mong kok,new,,
1279,2020-01-03 16:34:00,"due to traffic accident happened earlier , tai po road mong kok bound is busy. motorists passing through the above section of road are advised to drive with utmost care and patience. ",traffic accident happened earlier,tai po road,mong kok,updated,,
